gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
EEF1A1	227576.28106010935	-0.45773903066353044	0.18366332354950282	-2.4922723917720893	0.012692865324113968	0.037832729331681095	P-Adj < 0.05
TPT1	32234.97214394392	-0.4476506007851654	0.15974608038605012	-2.8022634402255835	0.00507454169476855	0.019161843025337685	P-Adj < 0.05
RPLP0	28634.021521435832	-0.5932432922812372	0.21584991671732687	-2.748406398776321	0.005988573082987803	0.021618573211606994	P-Adj < 0.05
RPS3A	19474.77437402401	-0.6164676520947543	0.19200215178370536	-3.2107330379777133	0.0013239686949840053	0.0063913939746090605	P-Adj < 0.05
RPL15	24399.61625360797	-0.6390709931812687	0.16313013452754435	-3.917553277523732	8.945227969339802e-5	6.969351664719808e-4	P-Adj < 0.05
HSPA8	31509.567079731376	-0.5594361750391653	0.11243855210797686	-4.975483626842937	6.50849359413816e-7	1.2518680647475118e-5	P-Adj < 0.05
RPSA	15242.87753276461	-0.4643445235091729	0.17790993385088608	-2.609997730078186	0.009054282345049609	0.02956451343967127	P-Adj < 0.05
EIF4G2	26828.386805183833	-0.45346428760741847	0.11570663398818591	-3.9190863304667465	8.8885275498248455e-05	6.969284976964576e-4	P-Adj < 0.05
SRRM2	63518.16296035833	0.8454560034618985	0.17416129677820627	4.854442514507592	1.2072588303903e-6	1.9815141602806127e-5	P-Adj < 0.05
RPS23	12595.545407832666	-0.5443941459545419	0.19502212700216764	-2.7914481003916602	0.00524727720092764	0.019633429283714057	P-Adj < 0.05
FLNA	60087.67698676016	0.8497598848958157	0.2713068602005528	3.1320987765206696	0.0017356147200028183	0.008062421586126299	P-Adj < 0.05
RPL5	14013.372107247254	-0.4253218638206949	0.16678554748629976	-2.5501122263344316	0.010768824757077515	0.03364574435523457	P-Adj < 0.05
RPL21	9079.300289572622	-0.5249395154779766	0.18396474556785405	-2.8534788763880656	0.004324340270436714	0.016845768585150616	P-Adj < 0.05
RPS20	14795.750639763832	-0.3353271901431233	0.1242530483407398	-2.6987441726464025	0.006960165813538158	0.0243838504655234	P-Adj < 0.05
SPTAN1	75730.39953019295	0.8445291318991468	0.25459522407078894	3.317144439694319	9.094258786470867e-4	0.004703795195859512	P-Adj < 0.05
HNRNPA2B1	23577.227381052762	0.6605117408861606	0.1304483021722851	5.063398525599916	4.1184764434056977e-7	9.388600929319286e-6	P-Adj < 0.05
PPIA	15623.645066623008	-0.37103874030036976	0.13042057783342836	-2.8449401656098785	0.004441976626313269	0.017141295382418913	P-Adj < 0.05
MACF1	82306.42477315165	0.6495834407220685	0.16976804089815592	3.82629991655352	1.300837887931833e-4	9.150465371680494e-4	P-Adj < 0.05
RPS27A	11850.777043680175	-0.6276561199203287	0.1765634562227838	-3.554847267649577	3.781987119016079e-4	0.0022490947553182577	P-Adj < 0.05
RPL30	9268.884275867345	-0.4283148284650578	0.17689371404966261	-2.421311750765825	0.015464608489172223	0.0450045698585603	P-Adj < 0.05
RPS7	10542.012352617547	-0.4995340492494743	0.20882941556502382	-2.3920674580154295	0.016753762772022777	0.048299489396627725	P-Adj < 0.05
RPS15A	9295.815452622679	-0.6454952824478073	0.22326654875556345	-2.8911419379465935	0.003838447165429155	0.01539129791740485	P-Adj < 0.05
MYH9	43281.02742594564	1.0552116713998045	0.26268899639693605	4.016961828904807	5.895326870731878e-5	5.004929226117891e-4	P-Adj < 0.05
HNRNPU	30140.989721692702	0.39635946491571	0.11077115691038364	3.578182949162242	3.459912421811006e-4	0.002109999903173958	P-Adj < 0.05
YWHAE	25095.292419471447	-0.47373486999541553	0.14155899635330357	-3.346554314450393	8.182264819909662e-4	0.004302949469508953	P-Adj < 0.05
PLEC	64884.85980352758	0.7320276054277617	0.2750397603868431	2.6615337520588507	0.0077785541891325265	0.02642493060233739	P-Adj < 0.05
