gene_symbol	cluster	pearson_r	pearson_pvalue	pearson_fdr
RARS2	6	0.5442049348971986	1.6119558232848861e-6	1.9294622733258482e-5
PCF11	2	0.5433017610334113	6.478889912157618e-8	3.652859836187914e-6
SRRM1	6	0.5422527481190698	1.7860855047575076e-6	2.089081204524591e-5
SLTM	4	0.5421351582147018	3.7110955642874223e-6	1.4341588664568814e-4
WDR33	6	0.5420064446805751	1.8092685345409031e-6	2.089081204524591e-5
ZRANB2	6	0.5418693622433983	1.8222932823453697e-6	2.089081204524591e-5
RBM12B	2	0.5414621926436742	7.318796042560585e-8	3.938842961087151e-6
TNRC6A	6	0.541353558374767	1.8720945298757605e-6	2.092860394247902e-5
SFPQ	6	0.540929598704583	1.9139814723734597e-6	2.1196897614603266e-05
HNRNPH1	4	0.5407041741543994	3.981604580863525e-6	1.4582254007053524e-4
SF3B1	2	0.5406228884047056	7.735496082332845e-8	3.982098852818299e-6
CLK4	4	0.540153796496242	4.090468907746622e-6	1.4582254007053524e-4
PNPT1	4	0.5399151303354933	4.138536195657928e-6	1.4582254007053524e-4
CDK13	6	0.5394424738808565	2.0679649157710226e-6	2.2690170603598717e-5
LAS1L	6	0.5389885187878075	2.1172370640851607e-6	2.273319716068255e-5
PUS1	11	0.5389010332873936	4.816938444445286e-4	0.01913930208592927
RBM39	2	0.5388904838931873	8.668019871243139e-8	4.276223136479949e-6
CPSF6	6	0.5388655388607752	2.1307736141369824e-6	2.273319716068255e-5
ANKHD1	6	0.5385242735699376	2.168763527495435e-6	2.273319716068255e-5
ZNF638	4	0.5380887060374407	4.524237390505734e-6	1.5265224922763723e-4
THOC5	4	0.5375518874666497	4.643833214791069e-6	1.5265224922763723e-4
AKAP8L	6	0.5373048064670307	2.3097703335828507e-6	2.3800676915614594e-5
EMG1	4	0.5372401385690306	4.714635410202485e-6	1.5265224922763723e-4
ZFC3H1	2	0.53663162248420615	1.0045178028165491e-7	4.757396314139176e-6
GIGYF2	6	0.5362523054587908	2.438337867095474e-6	2.4908882521621868e-5
ZCCHC9	6	0.5350704185361127	2.5906962205357016e-6	2.5798109422981566e-5
SECISBP2	2	0.5344635375101576	1.1560668198796176e-7	5.109171467597233e-6
LUC7L3	4	0.5343894537614005	5.4104841692757945e-6	1.705726324945369e-4
PRPF39	2	0.534141542627455	1.1803470405041701e-7	5.109171467597233e-6
PABPN1	1	0.5339664365310464	2.1677315415685652e-11	3.682046861321463e-9
PPIL2	11	0.5338922330805884	5.561870465279127e-4	0.020717967483164748
PNPT1	2	0.5337791844253089	1.2082500092290754e-7	5.109171467597233e-6
PRMT7	4	0.5329845994671146	5.7876302086552534e-6	1.7544028026571123e-4
CDK12	4	0.5327327854010018	5.85777229601707e-6	1.7544028026571123e-4
FXR1	6	0.5319299109601661	3.0400361123854536e-6	2.9855555415272627e-5
SRPK1	6	0.5318747682508916	3.048541945356952e-6	2.9855555415272627e-5
NGDN	4	0.5296660037123524	6.778169049865756e-6	1.9805479321315062e-4
RBM28	2	0.52929992293167	1.6092139631590017e-7	6.545430659819049e-6
ZC3H8	6	0.5289667570947011	3.5300590443544413e-6	3.428786858655748e-5
ZCCHC8	2	0.5288248808440644	1.6584706063730698e-7	6.545430659819049e-6
DSP	9	0.5288164065246108	0.004569298875301897	0.006021556657374593
SECISBP2	6	0.5284663340214591	3.6197826536474526e-6	3.487351580953034e-5
MYEF2	4	0.528051482950672	7.315284815336444e-6	2.0861492777676907e-4
TFB1M	4	0.5275561992828298	7.487847991987538e-6	2.0861492777676907e-4
SUPT6H	6	0.5271083340734186	3.874144449037588e-6	3.7023073968625334e-5
SRSF10	2	0.5259391295154439	1.9898544170508303e-7	7.599960096090913e-6
LAS1L	4	0.5253508916903806	8.303292731209527e-6	2.2607601572702303e-4
PRPF40B	6	0.5252021833389072	4.259507082538253e-6	4.0059649942919285e-5
SRRT	1	0.5248699871037373	5.40166413743317e-11	8.028223324260049e-9
CLK4	10	0.5247226768880021	4.944618287192458e-7	1.1827526942964358e-4
DDX51	11	0.5242203805483207	7.296356471460846e-4	0.02484930546851808
PRKRA	2	0.5241937769110009	2.2198080921387402e-7	8.213289940913339e-6
SAFB2	6	0.5235967553238631	4.611607382168715e-6	4.30295649438577e-5
TOP3B	6	0.5232689724794874	4.6867652110338354e-6	4.3052843217636395e-5
KRI1	11	0.5227413557704617	7.600211653074801e-4	0.024923162133820304
GNL3	6	0.5225492236467943	4.8558366140364734e-6	4.426281836640939e-5
PTBP2	6	0.5221691702965502	4.947397605633206e-6	4.475317681431565e-5
SNRNP48	2	0.5221541143024596	2.520472435192297e-7	9.043149585659634e-6
POP1	2	0.5213837123199644	2.64377910179139e-7	9.206571930944132e-6
YTHDC1	6	0.5211803745434789	5.193237416609158e-6	4.633329268671691e-5
ZC3H7A	6	0.5211527112891301	5.200276731926876e-6	4.633329268671691e-5
METAP2	11	0.5211240277648163	7.945303364808486e-4	0.024923162133820304
LARP1B	6	0.5194532391404609	5.650254961159947e-6	4.977556306327806e-5
CLK1	2	0.5181744870319809	3.2217006504362617e-7	1.0898553057475811e-5
DDX23	4	0.517477354657115	1.1939773550596623e-5	3.1786330474699456e-4
RBM15	2	0.5169843543237753	3.4649945268563734e-7	1.1167047104758669e-5
LUC7L2	2	0.5168679557319764	3.489702220237084e-7	1.1167047104758669e-5
PRPF40B	4	0.5164486918159691	1.2511713738278197e-5	3.2407223121137704e-4
ZC3H10	4	0.5160952902759243	1.2714019087591586e-5	3.2407223121137704e-4
SLU7	6	0.5157294613371545	6.76651173240209e-6	5.895820884482703e-5
METAP2	1	0.5154899012779034	1.346728505008674e-10	1.6012601924553132e-8
DNAJC2	11	0.5149217560861714	9.40127932913914e-4	0.028015812400834637
RBM6	2	0.5140397848205841	4.1439409754631373e-7	1.2651667876337545e-5
ZC3H10	2	0.5134670917152654	4.289858206367754e-7	1.2651667876337545e-5
TXNL4B	2	0.513267034660297	4.341968099094842e-7	1.2651667876337545e-5
MECP2	2	0.512896416635722	4.44009277415578e-7	1.2651667876337545e-5
TRNAU1AP	2	0.5127185657621007	4.487922726403521e-7	1.2651667876337545e-5
TRMT1	2	0.511792798907964	4.7448743394241226e-7	1.2973408881483507e-5
URB2	2	0.5114730365315536	4.836818014444419e-7	1.2973408881483507e-5
SNRNP35	4	0.5110283543497722	1.59702344432611e-5	3.985904346463916e-4
RBM41	2	0.5109611031266881	4.987538803591434e-7	1.2973408881483507e-5
DDX51	2	0.5107852040466172	5.040344666792579e-7	1.2973408881483507e-5
NOP56	4	0.510547584472927	1.6316451171186437e-5	3.989205816955378e-4
CWC25	11	0.5103684224970831	0.0010616026498522161	0.028283731580164208
PPWD1	10	0.5101909451310964	1.1421514547077309e-6	2.2230747445081486e-4
DDX56	4	0.5100706899641657	1.6666758410214688e-5	3.9933553150874393e-4
TOP3B	11	0.5099997409506593	0.0010720209205977798	0.028283731580164208
TRA2A	2	0.5094956889759658	5.44394353554975e-7	1.3556271229117049e-5
LUC7L	1	0.50935531737056	2.411544433368281e-10	2.1302473342129468e-8
DAZAP1	2	0.5093366576228104	5.495785633425831e-7	1.3556271229117049e-5
TUT1	4	0.5090917990282537	1.7407818038583342e-5	4.089130590239773e-4
MYO5A	11	0.509040158013298	0.001099562547086832	0.028283731580164208
RBM6	10	0.5078671434628217	1.3011307033074448e-6	2.2230747445081486e-4
PRPF3	11	0.5077290409727013	0.0011382055065898848	0.028283731580164208
MDN1	6	0.5077150195390183	9.903402200371927e-6	8.442828494561678e-5
DHX38	4	0.5076033194937835	1.859352865219538e-5	4.283662947178859e-4
ZNF346	6	0.5072081169964261	1.0141614199044345e-5	8.584152018476819e-5
LARP1B	2	0.506818369224243	6.38164938796692e-7	1.5420148725209863e-5
MRPS5	11	0.5066700530585247	0.0011702894426173743	0.028283731580164208
ZRANB2	2	0.5062108770926839	6.614727058870921e-7	1.5663673675406342e-5
RBM12B	6	0.5062090966303611	1.0626816622089174e-5	8.806138249773197e-5
ZNF326	2	0.5052849075015546	6.985545873630343e-7	1.6217424145839853e-5
POLR2H	4	0.505246321197625	2.0625518223562105e-5	4.6621454399674344e-4
TBRG4	11	0.5050354096841259	0.0012213848880383332	0.028283731580164208
DDX52	6	0.5048494948446758	1.1321984914983288e-5	9.31705008628833e-5
TNRC6A	2	0.5048266789701553	7.176242497735966e-7	1.6339752148691122e-5
SRRT	6	0.5044341275510125	1.1542675532150067e-5	9.368541442190294e-5
TSEN2	10	0.5043902964412237	1.5784292404258172e-6	2.3597517144365967e-4
RBM5	2	0.5043328775362471	7.387250664000508e-7	1.6470508741932557e-5
NASP	2	0.5036047887863219	7.709104759485036e-7	1.6470508741932557e-5
PUS7	2	0.5035542208169197	7.731944068914835e-7	1.6470508741932557e-5
EXOSC2	4	0.5031873857227984	2.256734136213752e-5	5.006606472563102e-4
TOP3B	2	0.5027969687622639	8.081708420683672e-7	1.678726801770082e-5
DHX16	1	0.5022448584707289	4.670256779560999e-10	3.470584569311267e-8
ZNF207	2	0.5020549071016037	8.438930793815616e-7	1.694552173104455e-5
OTUD4	2	0.5020443140172132	8.444136673409025e-7	1.694552173104455e-5
FTSJ3	4	0.5020096562504628	2.3753024656316666e-5	5.173840643321339e-4
YTHDC2	2	0.5010538314084554	8.94454424252589e-7	1.765056730525109e-5
DDX18	6	0.5006558992612188	1.3742546951238874e-5	1.1003323065687882e-4
MOV10	6	0.5004161039536399	1.3894576835808936e-5	1.1027947886868091e-4
NVL	2	0.5003608710348229	9.311166265369886e-7	1.8046006245318898e-5
RBM26	6	0.5003145582175423	1.3959427704896317e-5	1.1027947886868091e-4
PRPF38B	2	0.5001055997029589	9.449766783866314e-7	1.8046006245318898e-5
PKN2	6	0.49987829143727547	1.4241264936982486e-5	1.1176092020082282e-4
TARDBP	2	0.4994821546467469	9.796510704875563e-7	1.8411220118369313e-5
CCAR1	11	0.49928478015844574	0.001417160319919414	0.029125087954205892
RBM33	8	0.49904341897399895	1.8227555799565558e-6	1.4834472961677858e-4
DDX51	6	0.49855489202514686	1.512897028922046e-5	1.1769860643228977e-4
POLR2H	2	0.49851213679508105	1.0360012905221417e-6	1.9166023874659623e-5
DNAJC21	6	0.4982741093120825	1.5323820934437168e-5	1.1791381693057171e-4
ZFC3H1	4	0.4982461307909818	2.7940685465658132e-5	5.977310926403293e-4
PTCD3	6	0.4980393812995038	1.548850237422681e-5	1.1841209879650821e-4
NOM1	10	0.49761434686052924	2.2861856425654487e-6	3.03808669834253e-4
ROCK2	6	0.497343684456861	1.598632368403108e-5	1.1989742763023311e-4
EMG1	2	0.49724904396728453	1.113976151943743e-6	2.029150406002141e-5
ALG13	2	0.4965964281287547	1.156405176929839e-6	2.074520802249893e-5
AEN	11	0.49656067131206083	0.0015192020339233213	0.029413470152634034
TNRC6A	11	0.4958097148702123	0.0015484470332155318	0.029413470152634034
YARS2	4	0.4956143563635252	3.1265033872070025e-5	6.571142206796472e-4
DUSP11	6	0.49516396177927813	1.7644207184323384e-5	1.3067740945889506e-4
RBM39	11	0.4950933286357796	0.0015768070190791473	0.029413470152634034
NOM1	11	0.4944189194550968	0.0016039224495983326	0.029413470152634034
ZC3H10	6	0.4937714617571807	1.878564656519763e-5	1.3657049803533246e-4
LUC7L3	11	0.4935384072682645	0.001639942294583944	0.029564068671304008
ANKHD1	2	0.4934748679110137	1.3813313380763075e-6	2.4410392601229076e-5
MACF1	2	0.4928402551296927	1.4318484497443413e-6	2.490547007490221e-5
RBM19	11	0.49280491359879164	0.0016704898805272434	0.029564068671304008
DHX35	2	0.4926000968869744	1.4514167526758889e-6	2.490547007490221e-5
SNRNP70	8	0.492526969898135	2.5988842580260447e-6	1.4834472961677858e-4
SUPT6H	11	0.4924242270629313	0.0016865408302421748	0.029564068671304008
SMN1	6	0.4919993985572138	2.0337601765813752e-5	1.4608226566743994e-4
POLR2H	6	0.4919961330530317	2.0340568637238474e-5	1.4608226566743994e-4
ZNF207	4	0.4918228454827795	3.670235568349417e-5	7.580934846349313e-4
LUC7L3	8	0.4917234575015611	2.7137163960783253e-6	1.4834472961677858e-4
PSPC1	11	0.49159391042302436	0.00172202142107799	0.029748543969927013
MAK16	6	0.4902334036583453	2.2002185161688906e-5	1.570637916662732e-4
RBM6	11	0.490171978978916	0.0017843101843224277	0.03035409195089978
MSI2	6	0.4900826859897204	2.2149961443395598e-5	1.57171882098346e-4
RBM41	4	0.49001769552174346	3.9587622523025966e-5	7.840576126353881e-4
EFTUD2	4	0.4899335303011285	3.972713746413837e-5	7.840576126353881e-4
SART3	4	0.4898159526099986	3.992279997559154e-5	7.840576126353881e-4
OTUD4	6	0.4891216629002802	2.311414244903135e-5	1.6303725477441756e-4
CDK12	2	0.4887494433550712	1.8017886118170386e-6	3.0295830203488462e-5
FASTKD1	6	0.4886794291340115	2.35708096631601e-5	1.6527461213517586e-4
IVNS1ABP	2	0.488583414663637	1.8185589333876263e-6	3.0295830203488462e-5
MRPS5	2	0.4883506911994632	1.842313998860785e-6	3.0295830203488462e-5
TOP3B	10	0.48823403002543625	3.7689915361544468e-6	4.507713877240718e-4
RBM5	8	0.4879126562602745	3.326402905657533e-6	1.5314247223354103e-4
DDX41	5	0.4877657968343665	2.1924583492625385e-6	5.799153199826324e-4
LUC7L	2	0.48775663011437265	1.9042865276362673e-6	3.067235525269461e-5
LUC7L3	1	0.48761205981752476	1.7367456463468713e-9	9.944637282343455e-8
TRA2B	2	0.48743202701958843	1.938974656981725e-6	3.067235525269461e-5
RNPC3	2	0.48739538177081937	1.942927908743324e-6	3.067235525269461e-5
WDR36	6	0.48667515328749184	2.574757391243196e-5	1.7947573580136397e-4
SARS2	11	0.48666392066307895	0.001946534388458569	0.031354986365440735
ZC3H11A	4	0.48628667391887764	4.6228090280212314e-5	8.809433317149419e-4
RNPC3	10	0.4862603918568414	4.179211567329168e-6	4.543942758659714e-4
AKAP8	4	0.4862350841636916	4.632673614193768e-5	8.809433317149419e-4
CSTF3	6	0.4861828399834054	2.631010244114844e-5	1.8232439410971287e-4
TTF2	2	0.4860574916661873	2.0925752323500546e-6	3.258300637193413e-5
SNRPA1	2	0.4858306967765054	2.1189961914180135e-6	3.258300637193413e-5
PAPOLB	6	0.48581765093283524	2.6734727703363942e-5	1.8418983911910623e-4
DNM1	6	0.4856032893466098	2.698693346286428e-5	1.8433769029380716e-4
SNRNP70	1	0.4855697535869525	2.0760177808178815e-9	1.1219932460874824e-7
EED	6	0.4855353674375913	2.706730642288814e-5	1.8433769029380716e-4
DUS3L	11	0.48541727837073184	0.002007227592866655	0.0314817801407507
CLK3	4	0.4853698878697027	4.801037538211875e-5	8.986942141840353e-4
DHX15	6	0.48523067391779073	2.7430597665956412e-5	1.8574433276661914e-4
ALG13	6	0.48436723331361115	2.8484839709092787e-5	1.9178713099588041e-4
FAM133B	2	0.4842332397631863	2.3142017763824852e-6	3.455965394767061e-5
RBM41	10	0.48417826926779867	4.6572401203226695e-6	4.6417159865882606e-4
USP36	2	0.4841584783635037	2.3237403296208395e-6	3.455965394767061e-5
WDR33	2	0.484069728346598	2.335111753220987e-6	3.455965394767061e-5
NOL11	4	0.4836936751498574	5.1434288015363874e-5	9.47973492960091e-4
HNRNPH1	11	0.4836782759521807	0.0020946658560361707	0.03201079103070661
XPO1	6	0.4836224967141079	2.9424239153610528e-5	1.9508875969589105e-4
GTPBP10	6	0.4835332235452884	2.95387573481429e-5	1.9508875969589105e-4
HNRNPA2B1	6	0.4834594262049523	2.9633735650008767e-5	1.9508875969589105e-4
SART3	2	0.48340329242867464	2.4221924299286363e-6	3.5405874531302536e-5
