gene_symbol	plot_groups	pearson_r	pearson_pvalue	pearson_fdr
MRPL13	Neurofibroma plexiform	-0.8193258099057712	0.0037252799686572405	0.18611610296796566
SFPQ	Schwannoma	0.8186894170859325	6.208461402846617e-4	0.033810105543375324
ANKRD17	Neurofibroma plexiform	-0.8183900864859825	0.0037984868348567174	0.18611610296796566
FASTKD1	Neurofibroma plexiform	-0.8180203326111192	0.003827697006526377	0.18611610296796566
PCDHGA9	Germ cell tumor	0.8177351617472196	0.013143490379233295	0.9965170093839139
NUDT16L1	Choroid plexus tumor	-0.8166897062138098	1.1172073187858239e-5	7.200190869886585e-4
NOMO2	Other CNS embryonal tumor	-0.8163574624786476	0.013428967478956	0.6083615623598504
ALKBH5	Choroid plexus tumor	-0.8158364874342033	1.161022657701611e-5	7.200190869886585e-4
UBE2L3	Other CNS embryonal tumor	-0.8158350442806529	0.013538231863729726	0.6083615623598504
RBM25	Other CNS embryonal tumor	0.8156822624082121	0.013570291866763446	0.6083615623598504
REPIN1	Choroid plexus tumor	-0.8136988476514732	1.2774056603102554e-5	7.200190869886585e-4
SURF2	Choroid plexus tumor	-0.8136921436146515	1.2777860123645488e-5	7.200190869886585e-4
SNRPD2	Other CNS embryonal tumor	-0.8129121068588948	0.014159900858327244	0.6083615623598504
GRWD1	Choroid plexus tumor	-0.8121228783904048	1.3695675074662512e-5	7.200190869886585e-4
LSM4	Choroid plexus tumor	-0.8118165753689586	1.3881340319144296e-5	7.200190869886585e-4
MRPL14	Neurofibroma plexiform	-0.8107724757086266	0.004433358313720345	0.18611610296796566
DDX28	Choroid plexus tumor	-0.8107035185548924	1.457452555180374e-5	7.244753743042442e-4
POLR2K	Rare CNS tumor	-0.8102407554691654	8.035816781547947e-5	0.047572035346763845
PRPF38A	Schwannoma	0.8090748453812	8.088055675263285e-4	0.033810105543375324
PPIL1	Atypical teratoid rhabdoid tumor	-0.8087041576294943	1.7325096878555285e-6	0.0010334420288058228
RBM6	Schwannoma	0.8082888586762911	8.259542541974418e-4	0.033810105543375324
NAP1L1	Other CNS embryonal tumor	-0.8079882633972789	0.015247177002153217	0.6083615623598504
MAGOH	Other CNS embryonal tumor	-0.8077959938831182	0.015290662762662407	0.6083615623598504
PDAP1	Schwannoma	0.8076144074181685	8.408966804708298e-4	0.033810105543375324
DHX38	Mesenchymal tumor	0.80671737963831	9.124299636383205e-5	0.04176241803636943
RPUSD2	Choroid plexus tumor	-0.8060966887909543	1.7772819722227856e-5	8.481189571447132e-4
RPL29	Germ cell tumor	-0.8053304579398798	0.01585521021513823	0.9965170093839139
PTBP2	Schwannoma	0.8046790678286176	9.084277465858983e-4	0.033810105543375324
RPS11	Other CNS embryonal tumor	-0.8045494493351414	0.016036728170138428	0.6083615623598504
ADARB2	Other CNS embryonal tumor	0.8044053705227956	0.016070355949226733	0.6083615623598504
UBTF	Schwannoma	0.8039778951832651	9.251733836873083e-4	0.033810105543375324
CASC3	Schwannoma	0.8037832330771509	9.298651786878442e-4	0.033810105543375324
MTO1	Neurofibroma plexiform	-0.8037651284462353	0.005081284071981546	0.18611610296796566
RBMX2	Schwannoma	0.8033060661179776	9.414452051379044e-4	0.033810105543375324
RBM33	Meningioma	0.8029980367535366	1.0405331903451528e-4	0.07175611050736058
LARP4	Neurofibroma plexiform	-0.802921903968417	0.005163556218988044	0.18611610296796566
SNRPD1	Neurofibroma plexiform	-0.8021916922755055	0.005235565966750788	0.18611610296796566
UTP23	Germ cell tumor	-0.8016169243852065	0.016729906102699716	0.9965170093839139
SRPK1	Schwannoma	0.8015014541096165	9.862700877609754e-4	0.033810105543375324
CWC27	Neurofibroma plexiform	-0.8009213245080538	0.0053625458160030046	0.18611610296796566
SLU7	Other CNS embryonal tumor	0.7998654556619741	0.01715271382729389	0.6083615623598504
PLRG1	Neurofibroma plexiform	-0.7997217081405856	0.005484455199016627	0.18611610296796566
SRSF12	Other CNS embryonal tumor	-0.7995497322774904	0.017229634121792792	0.6083615623598504
HNRNPH1	Schwannoma	0.7995165090853005	0.0010374951415425316	0.033810105543375324
MYEF2	Schwannoma	0.7992732563717401	0.0010439138216851746	0.033810105543375324
NOC3L	Neurofibroma plexiform	-0.7990844985606452	0.0055500076789474885	0.18611610296796566
THOC1	Meningioma	0.7988982959766728	1.1989325063886479e-4	0.07175611050736058
UTP15	Neurofibroma plexiform	-0.7974794824887524	0.0057175943603269	0.18611610296796566
SNRPD3	Other CNS embryonal tumor	-0.797047325015294	0.017846945263702223	0.6083615623598504
GAR1	Neurofibroma plexiform	-0.7968421855999092	0.00578512593351172	0.18611610296796566
DHX38	Schwannoma	0.7965935362256163	0.0011167105541532204	0.033810105543375324
RBM28	Mesenchymal tumor	0.7960892443594982	1.3187700748990168e-4	0.04176241803636943
ISY1	Other CNS embryonal tumor	0.7953696573618082	0.018268442017263024	0.6083615623598504
HNRNPU	Schwannoma	0.7948159840186031	0.0011671577190087647	0.033810105543375324
MRPL19	Neurofibroma plexiform	-0.7944878535772967	0.0060395332400581874	0.18611610296796566
TSEN54	Mesenchymal tumor	0.7943245675315243	1.399075981117904e-4	0.04176241803636943
FAM50A	Other CNS embryonal tumor	0.7937145852896009	0.018690305951795144	0.6083615623598504
KHDRBS3	Schwannoma	0.7932519284530289	0.001213010090543121	0.033810105543375324
EMG1	Neurofibroma plexiform	-0.7929313431093469	0.006212036655578476	0.18611610296796566
HEATR1	Neurofibroma plexiform	-0.7926252586212996	0.006246366749580791	0.18611610296796566
NCOA5	Schwannoma	0.7923696131885002	0.00123949291832777	0.033810105543375324
ZNF346	Schwannoma	0.7923077010158238	0.0012413681131124398	0.033810105543375324
RBM38	Choroid plexus tumor	-0.7922871399969362	3.1269112753706486e-5	0.0014347712121219938
DDX52	Neurofibroma plexiform	-0.7922242998906881	0.006291541665059975	0.18611610296796566
PPHLN1	Neurofibroma plexiform	-0.7915301685069513	0.006370295927221898	0.18611610296796566
TIA1	Schwannoma	0.7914271181354313	0.00126828099739249	0.033810105543375324
HADHB	Atypical teratoid rhabdoid tumor	-0.7911088871842619	4.1759796213328585e-6	0.0011851215085651643
NOL8	Neurofibroma plexiform	-0.7910061146074986	0.006430216022905857	0.18611610296796566
RP9	Schwannoma	0.7909499630304817	0.0012830540591907867	0.033810105543375324
FNDC3B	Schwannoma	0.7903426819446165	0.0013020507452397214	0.033810105543375324
NOM1	Schwannoma	0.7903031814488823	0.0013032939781205122	0.033810105543375324
MBNL1	Choroid plexus tumor	-0.7901862256617602	3.395130479178449e-5	0.0015001446895036628
DKC1	Other CNS embryonal tumor	0.7900163028364049	0.019654816075991684	0.6083615623598504
HSPA8	Atypical teratoid rhabdoid tumor	-0.7895792921190693	4.490244529385386e-6	0.0011851215085651643
PNN	Other CNS embryonal tumor	0.7888860615636472	0.019955644123712903	0.6083615623598504
SLTM	Schwannoma	0.7886324926978517	0.0013567354517607189	0.033810105543375324
HNRNPM	Schwannoma	0.7881737246401886	0.0013717067619158575	0.033810105543375324
PDAP1	Choroid plexus tumor	-0.788035396238679	3.6900913635603115e-5	0.0015722424988312326
PRPF39	Schwannoma	0.7880120645258112	0.0013770130731945943	0.033810105543375324
SRRT	Schwannoma	0.7878768643045592	0.0013814632103720241	0.033810105543375324
FAM133B	Schwannoma	0.7877934932485303	0.0013842129952337462	0.033810105543375324
POLR2K	Atypical teratoid rhabdoid tumor	-0.7874312824699974	4.966980337657855e-6	0.0011851215085651643
ZNF638	Other CNS embryonal tumor	0.7870205357997277	0.020458425773073274	0.6083615623598504
C1orf35	Schwannoma	0.7866185828941972	0.001423422655369001	0.033810105543375324
GOLGB1	Other CNS embryonal tumor	0.7864491031750139	0.020613996024822275	0.6083615623598504
NOMO1	Other CNS embryonal tumor	-0.7859092755847213	0.020761636850920785	0.6083615623598504
NOL6	Choroid plexus tumor	-0.7856337733987201	4.045359675791307e-5	0.0016641772735238034
LUC7L3	Schwannoma	0.7854638638067575	0.0014628011289425313	0.033810105543375324
TRA2A	Schwannoma	0.7849602626005407	0.001480239907032454	0.033810105543375324
POLR2K	Other CNS embryonal tumor	-0.784900967285666	0.0210391651658336	0.6083615623598504
PRPF3	Schwannoma	0.7848204590524358	0.0014851097974527563	0.033810105543375324
RBM19	Mesenchymal tumor	0.7845073288448152	1.924687073903006e-4	0.04596152732480379
RPS13	Germ cell tumor	-0.7822795644028452	0.02177145267437739	0.9965170093839139
HLA-A	Choroid plexus tumor	-0.7821459044798983	4.6137519261187565e-5	0.0018347353492865588
RRBP1	Schwannoma	0.7818867292019591	0.0015902301090649329	0.033810105543375324
NCL	Schwannoma	0.7818583125988291	0.0015912760165044946	0.033810105543375324
MAGOHB	Schwannoma	0.7816546016343049	0.0015987896147291985	0.033810105543375324
ZNF638	Schwannoma	0.7815386955166522	0.0016030770249467069	0.033810105543375324
RRP7A	Other CNS embryonal tumor	0.7815061320560225	0.021990494386210407	0.6083615623598504
NOL8	Schwannoma	0.7812393179457089	0.001614192745423395	0.033810105543375324
LYAR	Schwannoma	0.7812115026043478	0.0016152285667688849	0.033810105543375324
NUMA1	Other CNS embryonal tumor	0.7806142436501712	0.022244778236558006	0.6083615623598504
EIF5B	Other CNS embryonal tumor	0.780279418310914	0.022340708816869666	0.6083615623598504
ZC3H13	Schwannoma	0.7800649603911001	0.0016583794681193885	0.033810105543375324
FAM98B	Schwannoma	0.7800643249626262	0.0016584036302335898	0.033810105543375324
HNRNPD	Schwannoma	0.7800349325581539	0.0016595215748877183	0.033810105543375324
EIF1B	Germ cell tumor	-0.7799553581114725	0.022433799467701798	0.9965170093839139
SNRNP25	Choroid plexus tumor	-0.7794267592123094	5.103451682325589e-5	0.0019617802367031365
GNL2	Neurofibroma plexiform	-0.7793338378890892	0.007871125401924271	0.18611610296796566
CCAR1	Other CNS embryonal tumor	0.7789063410072946	0.022736794870176644	0.6083615623598504
SNIP1	Mesenchymal tumor	0.7785766879197139	2.3157675013247902e-4	0.04608377327636332
MTO1	Schwannoma	0.7782994072551495	0.001726584812958528	0.033810105543375324
MRPL27	Choroid plexus tumor	-0.7782023626090449	5.338193268071984e-5	0.0019617802367031365
AQR	Neurofibroma plexiform	-0.7779135890383072	0.008060778921496497	0.18611610296796566
SAFB	Schwannoma	0.7777981512526055	0.001746342931047497	0.033810105543375324
REXO4	Choroid plexus tumor	-0.7777535018830777	5.4265505290195735e-5	0.0019617802367031365
DUSP11	Schwannoma	0.7777322997581929	0.0017489516908704282	0.033810105543375324
LSM2	Schwannoma	0.7776964940254943	0.001750371441505715	0.033810105543375324
FAM120A	Other CNS embryonal tumor	0.7766171094710396	0.02340679947791185	0.6083615623598504
HMGB1	Schwannoma	0.7761401345269012	0.001812959328096804	0.033810105543375324
EIF4H	Choroid plexus tumor	-0.7761151454136695	5.759845518598986e-5	0.002021028148143703
CLK4	Schwannoma	0.7757752315629666	0.0018278834731527685	0.033810105543375324
ZC3H11A	Schwannoma	0.7756914212788205	0.0018313247377816126	0.033810105543375324
HEATR6	Schwannoma	0.7755038836493652	0.001839043397756817	0.033810105543375324
DHX16	Other CNS embryonal tumor	0.7749719904442647	0.023895764013505467	0.6083615623598504
PRDX1	Atypical teratoid rhabdoid tumor	-0.774643668641759	8.853342250732402e-6	0.0016837819829856068
MRPL42	Rare CNS tumor	-0.774138985455818	2.650070907682394e-4	0.05712368391566221
WDR33	Schwannoma	0.773998067353513	0.0019019450216625534	0.03398269511735689
HNRNPA1	Schwannoma	0.7735186029204711	0.0019223219390215938	0.03398269511735689
SRSF8	Rare CNS tumor	-0.7734825481598618	2.7027835544467786e-4	0.05712368391566221
GDI2	Germ cell tumor	-0.7734070432596116	0.024366730556356485	0.9965170093839139
TDRD3	Schwannoma	0.77296305752171	0.0019461449628012518	0.03398269511735689
SNRPB2	Rare CNS tumor	-0.7728391173106042	2.7552991759022537e-4	0.05712368391566221
FASTKD3	Neurofibroma plexiform	-0.7727141502520695	0.008782710034030014	0.18611610296796566
MRPL1	Neurofibroma plexiform	-0.7725227358584434	0.008810127934820035	0.18611610296796566
SUMO1	Atypical teratoid rhabdoid tumor	-0.7721203990789739	9.87969311056098e-6	0.0016837819829856068
PNN	Schwannoma	0.7719298500812168	0.001991063581202033	0.03398269511735689
IFIT2	Germ cell tumor	-0.771658772055003	0.024899619755745266	0.9965170093839139
ZC3H4	Schwannoma	0.7714981312116738	0.002010070397089988	0.03398269511735689
NFX1	Neurofibroma plexiform	-0.7706034797151918	0.009088390279474763	0.18611610296796566
QKI	Other CNS embryonal tumor	-0.7704456048966665	0.025273608159056323	0.6083615623598504
