gene_symbol	clusters	pearson_r	pearson_pvalue	pearson_fdr
CIRBP	2	0.5755412117842817	3.478023357253936e-6	1.9874419184308208e-4
PTCD3	5	-0.5748941929003467	8.321805603209745e-7	3.767217382683796e-5
SRP14	5	-0.5741025169390728	8.684617553095495e-7	3.785849948145703e-5
RBM39	7	0.5731877925992948	9.865673372535943e-9	9.742352455379243e-7
DDX51	8	0.5726837463044787	3.941717743718333e-5	0.002256011798955057
RPL30	6	-0.5725494872199254	1.8187519229671245e-7	9.437191513372562e-6
HNRNPF	6	-0.5719161990317313	1.8895756495697533e-7	9.437191513372562e-6
TCF25	2	0.571892541165515	4.140153974200367e-6	2.1869221513275253e-4
BZW1	5	-0.5718924236984304	9.777615184419356e-7	4.0540577381373494e-5
PPIL2	8	0.5718646068117719	4.0668135239712134e-5	0.002256011798955057
CLK4	7	0.5717387877485406	1.0955472765251136e-8	9.986334789863537e-7
POLR2G	6	-0.5716614826334298	1.918790233367935e-7	9.437191513372562e-6
DDX55	2	0.5716323057928704	4.191600790044424e-6	2.1869221513275253e-4
ZFR	5	-0.5714923824018867	9.988757383685908e-7	4.0540577381373494e-5
RBM20	8	0.5711976323575652	4.171341867679556e-5	0.002256011798955057
PAK1IP1	5	-0.570708364659837	1.0415027753380599e-6	4.0861625552429884e-5
LGALS1	6	-0.57049360561841	2.0582897016188523e-7	9.437191513372562e-6
THOC5	2	0.5702246848715855	4.4803458885232314e-6	2.230722789679329e-4
TNRC6A	8	0.5701981886355074	4.33258034823245e-5	0.002256011798955057
SRRT	7	0.5697614824513129	1.2629105465485005e-8	1.0689635697571235e-6
HSD17B10	6	-0.5697159635583178	2.1564329916725925e-7	9.437191513372562e-6
SLC3A2	6	-0.569525336811236	2.1811571920870284e-7	9.437191513372562e-6
PSPC1	8	0.5692430463427719	4.491977236345653e-5	0.002256011798955057
SARS2	8	0.5691980269974504	4.4996208324699967e-5	0.002256011798955057
RPS15A	6	-0.5690086635408373	2.2495229545237105e-7	9.437191513372562e-6
PRPF39	8	0.5689068232618537	4.549350664718017e-5	0.002256011798955057
SRSF5	2	0.5687979847642842	4.791807798051123e-6	2.230722789679329e-4
PDIA4	6	-0.5687643046166022	2.2825567463536636e-7	9.437191513372562e-6
PPAN	2	0.5686147735839102	4.83323271097188e-6	2.230722789679329e-4
RPP30	5	-0.5684517421534183	1.173916852568888e-6	4.277826533130448e-5
RBM28	10	0.568127275577118	7.069782505158321e-5	0.0049613238403846335
HNRNPK	5	-0.5681205016013336	1.1946326577191222e-6	4.277826533130448e-5
DDX6	5	-0.5680451840379824	1.1993906167655462e-6	4.277826533130448e-5
RPL29	6	-0.5678947650451976	2.403860603573286e-7	9.60072412900612e-6
GTPBP4	8	0.5678841144139786	4.7280093062821034e-5	0.002256011798955057
HSPA5	6	-0.5673545936951594	2.482255613004084e-7	9.60072412900612e-6
NOM1	8	0.5673447804981333	4.8247873219859086e-5	0.002256011798955057
ACIN1	2	0.5669740061778151	5.219355821624295e-6	2.3197136984996864e-4
DKC1	8	0.566133879450591	5.048700387080023e-5	0.002256011798955057
DHX29	5	-0.5659709554435948	1.3376241415358914e-6	4.3802375585957224e-5
POLRMT	8	0.565963401172106	5.0809755398860205e-5	0.002256011798955057
DDX50	5	-0.5658704750877415	1.3446857271209565e-6	4.3802375585957224e-5
GPATCH4	8	0.5657654819489187	5.1186822329232385e-5	0.002256011798955057
SMU1	5	-0.5655857484850743	1.3648861029621598e-6	4.3802375585957224e-5
SNRPB2	5	-0.5654173753164019	1.3769650778933027e-6	4.3802375585957224e-5
TNPO1	5	-0.5648187964825049	1.4207228756821591e-6	4.400502170205003e-5
CCAR1	8	0.5645026008498708	5.365362583699257e-5	0.0022754139476125713
PUS1	2	0.5638879310667316	6.024436341065357e-6	2.5819012890280097e-4
PRDX1	6	-0.5638156543614481	3.0587568727721515e-7	1.1260019169588999e-5
DHX9	5	-0.5637462575867315	1.5024054509627418e-6	4.534182604572172e-5
SF3B5	6	-0.5635922992850809	3.0990878448410086e-7	1.1260019169588999e-5
NOP56	8	0.563293103361416	5.6117464949259606e-5	0.0022754139476125713
ZNF385A	10	-0.5632720928717746	8.406421101875661e-5	0.005571589096965368
SRRT	2	0.5630349121161843	6.266518188583143e-6	2.593042009068887e-4
RRP15	8	0.5626998353721735	5.736337683056903e-5	0.0022754139476125713
RBM33	7	0.5624952213113746	2.1125623418468524e-8	1.6689242500590133e-6
FKBP3	5	-0.5619840804255555	1.6462314584487034e-6	4.77864442816751e-5
RBM28	2	0.5619789605662185	6.578713000629342e-6	2.631485200251737e-4
SRP19	5	-0.5617694069369953	1.664608509387153e-6	4.77864442816751e-5
PRPF40B	8	0.561475912478915	6.0013866466460534e-5	0.00230375809984155
MRPS28	5	-0.5612040198418926	1.713932091354256e-6	4.803090646485617e-5
DDX55	7	0.5611447487762979	2.321385482408654e-8	1.7192761229089093e-6
MAPRE1	6	-0.5607963259747338	3.6483473433138855e-7	1.286578960186279e-5
CWC25	2	0.5606072521589839	7.005859172094341e-6	2.6438033650320425e-4
PABPN1	2	0.560469521410715	7.050142306752113e-6	2.6438033650320425e-4
ZNF385A	4	-0.5603943730867194	6.291279667616335e-9	1.2299451750189936e-6
METAP2	8	0.5600698828667323	6.319638894855596e-5	0.002350115714024425
DKC1	10	0.5594313646978432	9.62225998778497e-5	0.006041766402856563
HADHB	5	-0.5591095364421574	1.9088377431903106e-6	5.224888427290688e-5
CDC5L	5	-0.5581227450920683	2.0076882177878234e-6	5.364833186310936e-5
FAM98B	5	-0.5577034385704167	2.051125687204691e-6	5.364833186310936e-5
SAMD4B	4	-0.5563853543182965	8.487976971554032e-9	1.4223424268046973e-6
FAM133B	8	0.5562238545638558	7.270456167072148e-5	0.002621770557216926
ZFP36L1	10	-0.5560981548474238	1.080462717763195e-4	0.006444960111457457
PPIL2	2	0.5557918397273667	8.717943718680355e-6	3.0156814668341205e-4
CCDC9	2	0.5557831601607649	8.721353227811585e-6	3.0156814668341205e-4
QKI	5	-0.5557468741454111	2.265697843645366e-6	5.797231221675208e-5
LUC7L	2	0.5555945800264225	8.795737611599519e-6	3.0156814668341205e-4
PCBP1	6	-0.5547759363463007	5.158145794017584e-7	1.7670333734363094e-5
APEX1	6	-0.5539111222894307	5.418211079514945e-7	1.8045653012051165e-5
DHX36	5	-0.5532334441854496	2.572221745459516e-6	6.2888412326792e-5
PLRG1	5	-0.5532322901580441	2.57237099603969e-6	6.2888412326792e-5
SNRPG	5	-0.5528814390147319	2.618124217513006e-6	6.2888412326792e-5
PPAN	8	0.552849943527374	8.210058249173645e-5	0.0028735203872107757
NOM1	7	0.55216459255329	4.299182019124104e-8	2.9967827603894488e-6
RPS16	6	-0.5521573828862044	5.984002602274755e-7	1.9391403027371436e-5
MTO1	5	-0.5521572828597301	2.714976389693312e-6	6.314270391814308e-5
SUCLG1	5	-0.5520032509178606	2.7360050125958344e-6	6.314270391814308e-5
RRAGC	10	-0.5517464390808878	1.254650399681874e-4	0.0071276091753355985
PRMT7	2	0.5517224860153574	1.0459512615185162e-5	3.486504205061721e-4
RC3H2	5	-0.5509855721474526	2.87881450368596e-6	6.516085905458413e-5
SEC61B	6	-0.5506524172824909	6.513477310215292e-7	2.016356428607704e-5
TAGLN2	6	-0.5505294825054244	6.558623912902457e-7	2.016356428607704e-5
RPL10	6	-0.549837705527777	6.818219440344486e-7	2.0437612772432596e-5
AKAP8L	7	0.5497723647472469	5.050818891298448e-8	3.325122436771478e-6
PHF6	5	-0.5492871425006955	3.1327808056798795e-6	6.841744041018707e-5
ALDH18A1	5	-0.549247521785546	3.1389479882328817e-6	6.841744041018707e-5
TPT1	6	-0.5492374783793682	7.051273252738871e-7	2.062067470739977e-5
CHD2	7	0.5481205847747941	5.6410531841549535e-8	3.3377782605646846e-6
HARS2	2	0.5478464207317356	1.2413503253807826e-5	3.938664508783685e-4
UTP20	5	-0.5478096810045023	3.370591274904312e-6	7.188146085849159e-5
HMG20B	4	-0.5475630488880016	1.6182849222914592e-8	2.372810267309852e-6
HNRNPH1	7	0.5475435071924629	5.8623038135277885e-8	3.3377782605646846e-6
WDR6	2	0.5473603952398748	1.2681078551354778e-5	3.938664508783685e-4
MRPL45	5	-0.547240552914378	3.4666188894390377e-6	7.188146085849159e-5
RBM27	5	-0.5471560656130576	3.481090287964333e-6	7.188146085849159e-5
NXF1	2	0.5471462537567844	1.2800659653546975e-5	3.938664508783685e-4
DNAJC17	7	0.546838491654638	6.143812964961338e-8	3.3377782605646846e-6
CLK1	7	0.5467094306397421	6.196719133537811e-8	3.3377782605646846e-6
ALDH6A1	5	-0.5466703908170613	3.5653801853943694e-6	7.235262893464091e-5
ANXA2	10	-0.5466586862366549	1.4903451595297838e-4	0.008005248996738676
DDX51	2	0.5465242749913052	1.3153937981158913e-5	3.946181394347674e-4
PDIA3	6	-0.5457426215332529	8.56435885736592e-7	2.4449205404718424e-5
ACIN1	7	0.5457305424712674	6.612336340204749e-8	3.4067906796272295e-6
S100A16	10	-0.5456159201759478	1.5433422206621086e-4	0.008005248996738676
RBM4B	5	-0.5455741268209076	3.7627010190868386e-6	7.506269660110524e-5
PNO1	8	0.5448478222831823	1.0896739248743878e-4	0.0036571637249639475
AKAP8L	2	0.5443522541781178	1.4459735424661409e-5	4.232117685266754e-4
SNTB2	8	0.5441564169109693	1.1162827007300939e-4	0.0036571637249639475
HNRNPA0	5	-0.5436489886470363	4.134111814417035e-6	8.10974934261475e-5
RBM19	10	0.5432082551826638	1.672287360521455e-4	0.008312661754592067
TRMT2A	2	0.5429282925742638	1.537990427973529e-5	4.3942583656386545e-4
TFIP11	8	0.5424549514139938	1.1842984429529645e-4	0.0036571637249639475
SNRNP70	8	0.5423947810232913	1.1867712733137244e-4	0.0036571637249639475
TOP3B	8	0.5421093371916307	1.1985662628033105e-4	0.0036571637249639475
LUC7L3	2	0.5420590336299284	1.596797379123601e-5	4.456178732437956e-4
SNRPG	6	-0.5420588694965981	1.0487156951977785e-6	2.9242095780049686e-5
PEF1	5	-0.5419341258484307	4.493521814441269e-6	8.67028717311045e-5
NOM1	10	0.5414574337530574	1.7720948878298547e-4	0.008456436804724066
PRPF19	5	-0.5413893304448213	4.613675633301005e-6	8.715160722109554e-5
EEF1A1	6	-0.5413741347200204	1.088662516801038e-6	2.9589852017568156e-5
GTPBP1	2	0.5411984940362383	1.657059300855823e-5	4.465017486400915e-4
ZC3H14	5	-0.5411521626843486	4.66691418158466e-6	8.715160722109554e-5
MRPL40	6	-0.5410090033267816	1.1105449047460942e-6	2.9589852017568156e-5
SMC1A	2	0.5409564932396429	1.6743815574003432e-5	4.465017486400915e-4
NUCKS1	5	-0.5408353996963398	4.7389149211130966e-6	8.715160722109554e-5
ZFC3H1	7	0.5401268864427401	9.550571110029784e-8	4.715594485577206e-6
SF3B4	6	-0.5401008522486463	1.1667786537699785e-6	3.0412339258047917e-5
SUPT5H	8	0.5400536523766887	1.2867071292902782e-4	0.0038087540755557185
DZIP3	5	-0.539943046153362	4.947363558919791e-6	8.811372227182915e-5
RBM4	5	-0.5397084025612467	5.003579050287864e-6	8.811372227182915e-5
GTPBP10	5	-0.5395447533708783	5.043138149335238e-6	8.811372227182915e-5
ZFP36L1	4	-0.5393709425855686	2.898279802744719e-8	3.776766468181447e-6
POLR2I	5	-0.5393496492687001	5.090682340258609e-6	8.811372227182915e-5
CANX	6	-0.5388651018579577	1.247609731745167e-6	3.1827320603456495e-05
PARN	5	-0.5385483313880323	5.29037451603684e-6	8.920610305272504e-5
URB2	5	-0.5384892807592799	5.3053757125664855e-6	8.920610305272504e-5
KRI1	7	0.5384532531238929	1.0645305469277375e-7	5.045874792437475e-6
SAFB2	8	0.5383049918939133	1.3662748899515123e-4	0.0038087540755557185
HSPE1	6	-0.5382509976652671	1.2897101922040926e-6	3.221588584276473e-5
MYBBP1A	8	0.5382258921454111	1.3699775159900117e-4	0.0038087540755557185
SNRNP40	5	-0.538116773422923	5.400926182792719e-6	8.939643576872748e-5
PPRC1	8	0.5380918564018035	1.3762724810831588e-4	0.0038087540755557185
CCDC124	4	-0.5378686958514152	3.219749759745479e-8	3.776766468181447e-6
MATR3	5	-0.5374889835714526	5.565600479810632e-6	8.939643576872748e-5
HLTF	5	-0.5373860955863367	5.59303151564173e-6	8.939643576872748e-5
FASTKD5	5	-0.5372120250991246	5.639728005803642e-6	8.939643576872748e-5
MRPL19	5	-0.5370023479096214	5.696459373538285e-6	8.939643576872748e-5
IGF2BP3	10	0.5369522446014318	2.054171854752609e-4	0.009425488548922549
RBBP6	2	0.5362888088128607	2.0430934162964722e-5	5.329808912077753e-4
ARHGEF1	8	0.5356646972902013	1.494903547848437e-4	0.004043034595317364
KCTD12	10	-0.5355880010508414	2.1472587676307336e-4	0.009487702628827649
USP36	2	0.5353360912475883	2.1270272383401144e-5	5.430707842570505e-4
GAR1	6	-0.534739212610103	1.5572964890016593e-6	3.8106091639040605e-5
PPIL4	5	-0.5336028974232874	6.6938302546644694e-06	1.0148373185279884e-4
LUC7L3	8	0.5335606072755715	1.6051728552244176e-4	0.004049157196677425
XRN2	5	-0.5335102223003739	6.723173142334274e-6	1.0148373185279884e-4
MBNL2	5	-0.5335033777595853	6.7253450165831005e-6	1.0148373185279884e-4
CCDC9	8	0.5332645881651242	1.6212647560604978e-4	0.004049157196677425
DDX41	10	0.5332596190110694	2.3149714829818091e-4	0.00986343206856178
MRPL28	4	-0.5330290571339926	4.50282402592071e-8	4.4216194683136275e-6
PPIL1	6	-0.532953817465094	1.7125613634315456e-06	4.1067221495088463e-5
SSB	5	-0.5327836621525638	6.957407956054424e-6	1.0365657169969691e-4
RBM6	8	0.5327414301437265	1.6500623947023077e-4	0.004049157196677425
DHX16	8	0.5324993775839886	1.6635426873762342e-4	0.004049157196677425
SEC63	5	-0.5324592071684859	7.0644468821815015e-6	1.0393567475409534e-4
EXOSC10	8	0.5324322277870935	1.6673000221612924e-4	0.004049157196677425
LRP1	4	-0.5321737617845602	4.775192017754487e-8	4.4216194683136275e-6
RBM5	6	0.5319668666553973	1.8045184718112427e-6	4.172333811567697e-5
P4HB	6	-0.5319145594153992	1.8095192510552147e-6	4.172333811567697e-5
HNRNPR	5	-0.5317688330681684	7.297332636332359e-6	1.0603654954275538e-4
ILF2	5	-0.5314348550307189	7.41254466393545e-6	1.0639713499331738e-4
RBM19	7	0.5310462607390046	1.70882649207552e-7	7.78830535811343e-6
POLR2E	4	-0.5309742576175835	5.183733772317208e-8	4.4216194683136275e-6
SRP14	4	-0.5307122616380868	5.277295188098106e-8	4.4216194683136275e-6
SYNCRIP	5	-0.5303943286119623	7.782456149632997e-6	1.103608540737113e-4
TCF25	7	0.5303192751591957	1.7889892648805423e-7	7.851675106975712e-6
RBM33	6	0.5302557955659151	1.975025989886594e-6	4.468030494101936e-5
ZFP36	10	-0.5295538577822029	2.606400786399208e-4	0.010722193579911226
CDC40	5	-0.5290821074034991	8.273490806754852e-6	1.1328951621958893e-4
PRR3	5	-0.5290391035455255	8.290061069446458e-6	1.1328951621958893e-4
YTHDF2	5	-0.5286778292064717	8.430493446155575e-6	1.1328951621958893e-4
ROCK2	5	-0.5286038646764734	8.459516445034463e-6	1.1328951621958893e-4
HNRNPH2	5	-0.5285724877055826	8.471856575140703e-6	1.1328951621958893e-4
RBM14	2	0.5285721385610719	2.8209956807611264e-5	7.052489201902816e-4
MRPL32	5	-0.5283332533817497	8.566496978371636e-6	1.1328951621958893e-4
HNRNPUL2	5	-0.5277268843905354	8.810804829141651e-6	1.1522574759888581e-4
RBM39	8	0.5275862339592244	1.9596725043683145e-4	0.004510165174352249
UTP15	5	-0.5272857498253783	8.992600452242872e-6	1.1631088716802045e-4
SNRNP35	2	0.5268784965413229	3.024819512193327e-5	7.407721254351005e-4
NOP2	8	0.5268372884953237	2.0087869524875878e-4	0.004510165174352249
MRPS21	5	-0.526715329511506	9.232857072001245e-6	1.1812035623636375e-4
THOC5	8	0.5266630158540886	2.0203741263720185e-4	0.004510165174352249
LUC7L3	9	0.5266366418426967	6.183963101010509e-7	7.396019868808569e-4
NVL	10	0.5265901504312612	2.86285819132336e-4	0.011384632740829228
GFM1	5	-0.5261901704162005	9.459322412450208e-6	1.1971637074681608e-4
TTF2	8	0.5259578371081776	2.067881186386106e-4	0.004510165174352249
SRSF11	8	0.5259133985327457	2.070908568316609e-4	0.004510165174352249
MCAT	4	-0.5257944457356576	7.362429623017024e-8	5.757419965199313e-6
RBM25	8	0.5257141742990231	2.0845301225997788e-4	0.004510165174352249
LSM3	5	-0.5257004324002652	9.675164078148888e-6	1.2114540553171532e-4
TCERG1	2	0.5251963268983161	3.24064527498179e-5	7.706221459423074e-4
RPS2	6	-0.5251644792982263	2.5762422719498993e-6	5.720212007533202e-5
IMP3	5	-0.5249971959931028	9.993130987382947e-6	1.2332827624780027e-4
CPSF1	2	0.5249343605013448	3.275507393993449e-5	7.706221459423074e-4
TNRC6B	8	0.5248547998911924	2.1442226734705698e-4	0.004556473181124961
FUBP3	5	-0.5248010903251542	1.008351904128048e-5	1.2332827624780027e-4
PRKDC	5	-0.524628188969384	1.0163842647439785e-5	1.2332827624780027e-4
UBE2L3	6	-0.5245717740048544	2.6564470090770426e-6	5.791054479787953e-5
CLK3	2	0.5244611324958053	3.3393626324166654e-5	7.706221459423074e-4
CDK12	7	0.524397850169123	2.588525960907411e-7	1.0850590547884051e-5
MRPL2	4	-0.5243429451332329	8.11458594132657e-8	5.803424895129323e-6
PRPF3	7	0.5239847190420297	2.655418783870359e-7	1.0850590547884051e-5
EIF3CL	4	-0.5238062978321532	8.41076071757873e-8	5.803424895129323e-6
NOP2	10	0.5235199069145445	3.1523183842587524e-4	0.012131341394905458
SEC61B	5	-0.5230263574901435	1.0936838633878902e-5	1.291098210766572e-4
NCBP2	5	-0.5229803525434289	1.0959826952058576e-5	1.291098210766572e-4
SRRM3	6	0.5228991744240882	2.895602304794512e-6	6.199691363301106e-5
HUWE1	5	-0.522827091893721	1.1036734964273117e-5	1.291098210766572e-4
CWC22	5	-0.5225863136791353	1.1158575315737752e-5	1.291098210766572e-4
MRPL1	5	-0.5224720206664835	1.1216847734973925e-5	1.291098210766572e-4
MRPL22	5	-0.5222613705351035	1.1324990525191903e-5	1.291098210766572e-4
NOC3L	5	-0.5221006071826066	1.1408174504649407e-5	1.291098210766572e-4
HSD17B10	5	-0.5215179542385795	1.1714445372233278e-5	1.3131335431541493e-4
DDX10	8	0.52140583569706	2.3996741962438217e-4	0.004975803842727328
HSPB1	6	-0.5209962474445505	3.192202241078629e-6	6.71482541588294e-5
PDCD11	8	0.5209648006274711	2.4342515556850116e-4	0.004975803842727328
