baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene
618940.8900249397	-0.9696137427260286	0.357653097467712	-2.7110452826808324	0.006707146579077172	0.04484697420752106	P-Adj < 0.05	RPPH1
107046.684252836	-1.1450568267993406	0.37634456813459977	-3.042575670681158	0.0023456283419900636	0.023234416988427545	P-Adj < 0.05	GAPDH
5141.403218877663	2.4671847751928135	0.9178195288724096	2.688093571318843	0.00718612564147653	0.04684816057813253	P-Adj < 0.05	IGF2
54397.36694562405	-1.3104772790543433	0.355283433021427	-3.688540351880998	2.2554425967664948e-4	0.005484812553774306	P-Adj < 0.05	FTH1
31684.813696950863	0.6918500476197816	0.20550703195479467	3.366551699174789	7.611431344668052e-4	0.011666353779302124	P-Adj < 0.05	RPS3A
141230.02131143198	-1.3663750923448739	0.3725912958062945	-3.6672222559252563	2.4519965674038824e-4	0.005746807478868841	P-Adj < 0.05	RMRP
62459.35543201956	-1.128798261372265	0.3273977343867424	-3.447788859891311	5.651956785673222e-4	0.009600308830648462	P-Adj < 0.05	GNAS
38931.54725864106	1.1716253896195012	0.34098560536403	3.4359966262173893	5.903783242779723e-4	0.009900844991307103	P-Adj < 0.05	B2M
15225.682963502046	-4.274681223475758	0.668068688875446	-6.398565438939056	1.5684352284958108e-10	4.7358901724431006e-7	P-Adj < 0.05	HBA2
11898.248213510613	-2.9593245793853455	0.5729592819632968	-5.164982351354798	2.404616102641096e-7	7.511108608887715e-5	P-Adj < 0.05	HBB
26009.447799920054	0.6311196351441428	0.20641296387335542	3.0575581266851337	0.0022314835833353577	0.022505096098459545	P-Adj < 0.05	RPL7
25112.43725752647	0.6776837402572848	0.21312150753050965	3.179799862105753	0.001473768007681335	0.01745507842702823	P-Adj < 0.05	RPSA
50500.18051523324	-1.2974593888272392	0.3632044499281551	-3.5722563120685544	3.539187635107272e-4	0.00704609476760862	P-Adj < 0.05	SRRM2
141380.35860893724	1.0885665591809381	0.3464869777403478	3.141724304561581	0.001679561040923063	0.018970361678351286	P-Adj < 0.05	PTPRZ1
8319.151343782647	-3.8749563230028508	0.6105440829153781	-6.346726520548268	2.1994460636069893e-10	5.692480619195404e-7	P-Adj < 0.05	HBA1
34757.896533026724	-1.0088282028968432	0.32600733471413623	-3.0944954161275153	0.001971479811154588	0.020948835475228994	P-Adj < 0.05	ENO1
14256.93704399987	-1.7281046106910312	0.648861832282838	-2.6632859643033413	0.00773816223104013	0.04903542677151243	P-Adj < 0.05	MT-ND4L
29282.391002887696	-1.0550829008559814	0.3103884580659525	-3.3992336810146253	6.75749539481152e-4	0.010824539705375802	P-Adj < 0.05	UBC
34508.282474959575	-0.9261059317621103	0.27802677091917377	-3.3309955321940636	8.653599128988257e-4	0.012562280081721174	P-Adj < 0.05	ALDOA
28240.303468075886	-1.5108442292058903	0.3872537482819653	-3.90143216407507	9.562525991357155e-5	0.0033270565243286995	P-Adj < 0.05	MYH9
43927.217346118276	-1.5689232630016992	0.4893142814185385	-3.2063712885169386	0.0013442042464604234	0.01646582037398478	P-Adj < 0.05	NEAT1
8998.593077084672	-2.6317988675191146	0.6646255988661692	-3.959821698124301	7.500574341238484e-5	0.0028984937942599393	P-Adj < 0.05	MTATP6P1
34647.91808778686	0.7253696740816954	0.2691011658688019	2.69552780174629	0.007027721283561251	0.04618107598631817	P-Adj < 0.05	TMBIM6
47174.79563036213	0.8086600502697419	0.27029654783830465	2.991751306988553	0.002773821282501214	0.025914012722779354	P-Adj < 0.05	NORAD
16369.603725146886	0.7480795895304967	0.24654662321265466	3.0342317399547314	0.0024114911349196553	0.023654025387839412	P-Adj < 0.05	NAP1L1
18039.815971153443	-1.0983786086696463	0.37038531727169394	-2.9655025657076393	0.0030218882471982258	0.027360094639925166	P-Adj < 0.05	YBX1
78439.59084377231	0.9872416308807018	0.2594341507861306	3.805364975617852	1.4159524224853517e-4	0.004117626009336616	P-Adj < 0.05	QKI
31782.841589471984	1.049983677225315	0.25491819537544824	4.118904402562868	3.806780233351389e-5	0.0019405191248614588	P-Adj < 0.05	NUCKS1
12255.805912502847	0.6062247638155522	0.21606285056217928	2.805779717513682	0.005019499404941688	0.0371783608827999	P-Adj < 0.05	H3-3A
11368.858637091387	-1.9274669497010841	0.4922041582022948	-3.9159907887427874	9.00336855182792e-5	0.00319715668286278	P-Adj < 0.05	FOS
14634.632200578118	0.8247651396933665	0.2271122188226956	3.631531337101915	2.8174443734431523e-4	0.006183660443347166	P-Adj < 0.05	HMGB1
22368.96253113586	0.7927835129360113	0.26105655459771143	3.036826691280332	0.002390828744059539	0.023489503446923358	P-Adj < 0.05	MATR3
32010.27941801161	0.7280205269610046	0.23853040079732854	3.052107926400458	0.0022724037979675264	0.022732821428921964	P-Adj < 0.05	SEPTIN2
25286.459206801406	-0.882264535989094	0.24362914182571785	-3.621342378738211	2.9307834561744986e-4	0.0063286059446380685	P-Adj < 0.05	PRRC2A
26300.43361662453	0.6401122231862681	0.2368072116839765	2.703094296133639	0.006869725440960329	0.04557261655579578	P-Adj < 0.05	TTC3
34750.436768580024	0.9778665546890012	0.2572716369114821	3.8009108443829347	1.4416517082610055e-4	0.004165614672817327	P-Adj < 0.05	CBX5
40077.99587223159	-2.7805531150385754	0.7247212963937342	-3.8367205833122466	1.246882015150365e-4	0.0038747446772691534	P-Adj < 0.05	COL4A1
18011.535291243297	0.7655679628598994	0.2023813689960106	3.7827986175693398	1.5507487686396287e-4	0.004355800843634752	P-Adj < 0.05	SET
