baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene
446157.1621363562	-1.0959759505400564	0.37426358209489985	-2.9283531793434183	0.0034076272729939693	0.036865088209873685	P-Adj < 0.05	GFAP
148156.40566769612	-0.8143693240423892	0.253056666053813	-3.2181302976196324	0.0012902918892339621	0.02073893201488418	P-Adj < 0.05	CLU
6949.587098123532	-1.3952910735839512	0.4441107868261958	-3.14176353057149	0.0016793360575392	0.024435903093546846	P-Adj < 0.05	COL1A1
21686.316472137365	-2.127472211756693	0.42445282848031335	-5.012270078099781	5.379163126367635e-7	1.211223425996509e-4	P-Adj < 0.05	COL1A2
57894.955430088834	-0.9140234075335661	0.28073731520709067	-3.2557959274466994	0.0011307499239628762	0.019063467943968033	P-Adj < 0.05	FTH1
52636.28474987619	-0.8163344667269528	0.2708096151102709	-3.0144220189321924	0.0025746938968126366	0.030982616321699165	P-Adj < 0.05	FTL
54616.6216711816	-0.5622828548478594	0.17708089469198351	-3.17528808416007	0.0014968781155104552	0.022641591902191782	P-Adj < 0.05	GNAS
17787.906389136308	-2.0279586358698234	0.41700027878532725	-4.863206906664495	1.154990014076746e-6	2.1430498072848726e-4	P-Adj < 0.05	HBA2
22981.20797731743	-1.4514056781967608	0.40756606973871645	-3.5611543402698658	3.6922795519175904e-4	0.009506188730082401	P-Adj < 0.05	HBB
54509.08268745797	-0.48534994872492643	0.17224155342665262	-2.8178447016364605	0.004834718791969342	0.04497845878943466	P-Adj < 0.05	SPTBN1
71667.0131947244	-1.966209785795583	0.5402967339294052	-3.639129504811122	2.735612084473375e-4	0.008040399677484244	P-Adj < 0.05	MBP
33642.65646518146	-0.5791233535492977	0.19508954080335264	-2.9685002648760417	0.002992568442985709	0.034008786796462916	P-Adj < 0.05	PKM
98674.09286495078	0.555104189131395	0.1880872929232944	2.951311492147304	0.003164276292529165	0.03508965821890648	P-Adj < 0.05	PTPRZ1
9622.211883213522	-1.9930260012479004	0.41497449034772244	-4.802767513679866	1.5648754226255982e-6	2.665303844818086e-4	P-Adj < 0.05	HBA1
33996.682148712476	-0.5862793063994197	0.1955825275084211	-2.9976057364028934	0.0027210944690157527	0.03210620577980518	P-Adj < 0.05	ENO1
25944.833252386572	-0.6196332731932499	0.16331732401668128	-3.7940449791472237	1.4821280723839776e-4	0.005574922469543725	P-Adj < 0.05	ALDOA
16731.368926192776	-0.7968689248834679	0.194722095451989	-4.092339511002978	4.2704279051321767e-5	0.0024882734526175863	P-Adj < 0.05	MYH9
75748.58747639171	-1.2970212474043707	0.46348899243245223	-2.798386301684167	0.0051358647521637275	0.04657335374231749	P-Adj < 0.05	PLP1
22890.034249961507	-0.8186728756844482	0.2764876929801165	-2.960974019712779	0.00306667806806254	0.034555401301281465	P-Adj < 0.05	PLEC
21240.47135457819	-1.4798301090826644	0.4194876926257956	-3.527708047450985	4.191742090162552e-4	0.010370073308716855	P-Adj < 0.05	SERPINA3
12393.971222949525	-1.9395596375824595	0.2874010497585328	-6.7486170952125235	1.4926091543025137e-11	2.4786640768636117e-8	P-Adj < 0.05	FOS
7259.523229322295	-0.7605925303323872	0.23402602735001166	-3.250033934024088	0.0011539123848435544	0.01930287106133817	P-Adj < 0.05	LAPTM5
27340.999603118966	-0.6674532456624351	0.18723927938791313	-3.5647074045806293	3.642623146818357e-4	0.009433186843173853	P-Adj < 0.05	WNK1
19596.736231972565	0.6629316034459753	0.1949934289369369	3.399763812863535	6.744408337558278e-4	0.014213137589667831	P-Adj < 0.05	MARCKS
18541.759939028696	0.5269096130293961	0.1880088936066344	2.802578127670034	0.005069593576003531	0.046358830609897365	P-Adj < 0.05	CBX5
16100.321828227328	-0.6962269006210502	0.20289965865415902	-3.431385273090892	6.005070756640067e-4	0.013252053987037089	P-Adj < 0.05	P4HB
17801.503118932582	-2.1220608525347804	0.2825254911463631	-7.511042079510768	5.865853197203017e-14	3.896392986242104e-10	P-Adj < 0.05	HSPA1A
15067.072556853507	-0.8628639137393256	0.24653397957846718	-3.49997965884736	4.652936620786818e-4	0.011137103583153564	P-Adj < 0.05	GSN
9898.36859125252	-0.8065451676517668	0.25437402411054477	-3.17070569792638	0.0015206912452660148	0.022905196364352613	P-Adj < 0.05	COL6A1
12821.337133614941	-0.8773066392499718	0.17998310077256371	-4.874383403131739	1.0914882751645435e-6	2.1324149611119062e-4	P-Adj < 0.05	CTSD
2656.4007678889207	-1.4819083447566133	0.4648268107478494	-3.188087069186918	0.001432174042551388	0.022021333513073137	P-Adj < 0.05	COL6A3
10250.418093236372	-1.2090758012698253	0.3755532622306599	-3.2194522664729956	0.0012843574168194952	0.02070714597384344	P-Adj < 0.05	ANXA2
17604.945600037863	-0.7369163961556355	0.21751260975364065	-3.38792494370916	7.042353284028744e-4	0.014456650691644405	P-Adj < 0.05	RHOB
7092.736618169864	-1.473076573191508	0.38905860970855916	-3.786258770355907	1.5293241707973714e-4	0.005659351423131777	P-Adj < 0.05	COL6A2
14215.523410724478	-0.35076488939700495	0.11354563007913038	-3.089197612911704	0.0020069789610141376	0.027164232265649357	P-Adj < 0.05	UBA1
13577.073777924634	-2.3469058259647846	0.3242723243081644	-7.237453368775497	4.571878604922391e-13	1.7986584139869578e-9	P-Adj < 0.05	HSPA1B
954.4932193049002	-1.1427081452758976	0.34242965084136695	-3.33705957550173	8.466979692602141e-4	0.016138281953546548	P-Adj < 0.05	LYZ
10680.990659962914	-1.0972987167223582	0.21750175359602486	-5.045010895684166	4.5349552491604733e-7	1.088984901803645e-4	P-Adj < 0.05	JUN
