baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene
238400.06270174772	4.494398347865034	0.8303212961146046	5.412842436892884	6.203207142372895e-8	2.7158413334443095e-5	P-Adj < 0.05	RN7SL1
203216.4241744508	3.897706489237422	0.7653508988695619	5.092705182674261	3.529903710166444e-7	1.0599524958707768e-4	P-Adj < 0.05	RN7SL2
24913.13948945067	-2.2469534667960853	0.5137790137126464	-4.373385067948285	1.223346626766671e-5	0.0015303030246761804	P-Adj < 0.05	CD74
6923.026495511752	-3.072689268870409	0.5778310590663027	-5.31762566352086	1.0513007555942616e-7	4.238544274911607e-5	P-Adj < 0.05	HBA2
63820.34831172971	-1.8012223485429326	0.5939626767614576	-3.0325514026638487	0.0024249579325384255	0.04792518401407524	P-Adj < 0.05	SPARCL1
39686.13686769189	-1.666320925092482	0.504391159248372	-3.3036283339612487	9.544227384487615e-4	0.02536320011723253	P-Adj < 0.05	A2M
21532.968719331056	-1.0089381909589057	0.3153571311320485	-3.199351120861244	0.0013773730602167843	0.032355649598151376	P-Adj < 0.05	CTSB
36367.05443725017	-1.2343963473072759	0.4073937676309821	-3.0299833855715583	0.002445671920329308	0.048132324222826865	P-Adj < 0.05	ITM2C
11298.947374969473	-2.1372218598105754	0.558293210005643	-3.828135147459474	1.2911785585481794e-4	0.007089424373413759	P-Adj < 0.05	HLA-DRA
24487.395370501068	-2.1034608208537398	0.6473401162531424	-3.2493904951059474	0.0011565259654858846	0.028833459185461693	P-Adj < 0.05	C3
25857.038805046544	-3.4442000989984143	0.5545719815392207	-6.21055555211967	5.279760722063988e-10	5.321621682074638e-7	P-Adj < 0.05	FOS
20779.497199573638	1.6668665332462584	0.4845715085584214	3.4398773015052244	5.819779638472596e-4	0.01905403955417327	P-Adj < 0.05	CCND2
6234.585896966524	-1.870232875040814	0.311641285325941	-6.001235918035587	1.958212255320657e-9	1.7185944837186492e-6	P-Adj < 0.05	LAPTM5
10703.657761206792	0.6728640661069563	0.21951023788549062	3.0652969655928373	0.0021745396491594945	0.04499256450042467	P-Adj < 0.05	USP22
10502.05054236616	-2.034653282726726	0.4098821690450257	-4.963995597728036	6.905750921158253e-7	1.7717645681538928e-4	P-Adj < 0.05	HSPA1A
35405.117231512224	-5.134943386871135	0.9648610183696362	-5.321951337144754	1.0266003758468446e-7	4.238544274911607e-5	P-Adj < 0.05	CHI3L1
22921.096392691616	-1.8522349284907063	0.3206885005851428	-5.775807130941815	7.658506118073252e-9	5.446656119275086e-6	P-Adj < 0.05	RHOB
5899.003716649681	-2.0593625825347943	0.6730006038273091	-3.059971374205815	0.002213581476359444	0.04526934523609872	P-Adj < 0.05	COL6A2
7756.459731643095	-1.384975528733232	0.3466264290050528	-3.995585485817191	6.453456461268252e-5	0.004420617675968753	P-Adj < 0.05	ZFP36L2
8335.93610306453	-2.3946279984484975	0.46383947591632063	-5.1626222492552625	2.435142385239394e-7	8.810844666182843e-5	P-Adj < 0.05	HSPA1B
14317.151441532036	-2.2354850774944603	0.413319039675648	-5.408618676867044	6.351269506318632e-8	2.7158413334443095e-5	P-Adj < 0.05	JUN
21665.717924518485	-2.663890042185963	0.6605229747780508	-4.033001339705231	5.506896560806488e-5	0.003949768201859917	P-Adj < 0.05	EGR1
10311.100029417807	-1.3927803270303682	0.35780765107922663	-3.892539253505162	9.920044254077917e-5	0.005956669977416744	P-Adj < 0.05	ZFP36L1
25606.02432010765	3.2163859860360815	0.7261078625978802	4.42962561309892	9.43968181406022e-6	0.001256635378096262	P-Adj < 0.05	PDGFRA
4776.8216797816085	-1.7965103989485953	0.5398390854883988	-3.3278627784486394	8.751496167782922e-4	0.0240257514442772	P-Adj < 0.05	HLA-DPA1
6942.41451194144	-3.2292097057367126	0.44401623305849336	-7.272728934915554	3.5229681284818387e-13	1.1705532206280285e-9	P-Adj < 0.05	DUSP1
7050.384856936649	-3.1832566373010556	0.6129122890713495	-5.193657712629891	2.0620210361712273e-7	7.864102389570862e-5	P-Adj < 0.05	ZFP36
9996.955034317727	1.0019787329276506	0.307929039176537	3.253927384072445	0.0011382137063347267	0.02857888542720521	P-Adj < 0.05	TCF4
9257.06137358762	-1.0266895222810335	0.3178800503171592	-3.2298016854366045	0.0012387611118562622	0.030400274868528202	P-Adj < 0.05	PCBP1
5675.9187094612325	-1.97506585662256	0.604008286623626	-3.2699317217369193	0.0010757344631397742	0.027599434562482462	P-Adj < 0.05	CCN2
12128.436236388081	2.49141128418963	0.7054752951955459	3.5315358328728617	4.1315388056141847e-4	0.015103664270990092	P-Adj < 0.05	ZBTB20
10612.785980400413	1.00374535697753	0.3315195043089277	3.0277113229578982	0.0024641335701181474	0.04836076329337577	P-Adj < 0.05	NFIB
8893.774678040661	-2.2597448052879687	0.5967063883892217	-3.7870296837076505	1.5245889289465455e-4	0.007766597247785091	P-Adj < 0.05	HSPB1
3381.7386120125343	-2.581703088000554	0.3687487218710493	-7.001252980351673	2.536833938493014e-12	5.11389481515356e-9	P-Adj < 0.05	SRGN
10251.841581040584	-2.3940646419681584	0.6538983709498782	-3.661218238685083	2.5101881932625364e-4	0.010932489381212237	P-Adj < 0.05	NDRG1
3807.910243075263	-1.6878965485408437	0.4766278420420579	-3.5413301524922307	3.981150832697518e-4	0.014772585256016855	P-Adj < 0.05	SH3BGRL3
7258.620134231107	-0.8948545820879243	0.2568162392226654	-3.484415879605127	4.932124721866884e-4	0.017184496777842867	P-Adj < 0.05	CAPZB
