Kids_First_Biospecimen_ID	Astrocytes	Endothelial	Microglia	Neurons	Oligodendrocytes	OPCs
BS_30VC3R2Q	-0.0033931657770525335	-0.009420597792964419	-0.017058535161226008	-0.008930150168341476	-0.007801571502406141	0.03417083422242263
BS_MWWZBQ60	0.04240873173683646	-0.013101384023256854	0.0010686894058623694	-0.007807161118372195	0.014059058499218777	3.2195131909513335e-4
BS_TXZ7KHTQ	-0.010165337262516389	-0.013263855073996729	-0.02486971007441006	-0.019840121606231848	-0.00722689650396059	1.8257024939535426e-4
BS_NB5XWMJT	0.12496638908765575	-0.0135849420384742	0.09362223520687989	-0.020704868126063463	-0.007933766678018971	-0.002390759016624942
BS_PEP9NZXN	0.007867768429467108	-0.013739726514551511	-0.005147618375575598	-0.016193675095570053	-0.00658442638985153	0.0916906843882899
BS_V89HGTET	0.07445300390035337	-0.011936021087569642	0.08316375977719347	-0.02049858342994639	-0.007714588265615453	-0.00297832946058098
BS_B7GEH89C	0.0175161080668878	-0.013071881799639255	0.023260226271652966	-0.018592216222021823	-0.006558242289100499	0.04545625021597793
BS_M8WP5T16	-9.998823276792935e-4	-0.009344765981231523	-0.0024426694433670533	-0.01896345476061079	-0.007485819424845938	5.503672439984901e-4
BS_T0RKFEKR	0.022447989670971887	-0.011502464062943262	0.041744441036562635	-0.023120644616006755	-0.006542542851408423	-0.004069152655191289
BS_EBMCTR80	-0.027371742417146887	-0.0056205274109314765	0.005355594082662655	-0.019724483466407285	-0.004855397802231629	0.012278507488497944
BS_ARBQDTT5	0.05133320799353453	-0.012527437405299744	0.011801420311193809	-0.020341762861868385	-0.006397392242363477	0.020893195084526223
BS_SXRS2P6T	-0.002466038333077658	-0.01318494060836772	0.0722223949675622	-0.015846258629564226	-0.005314857646026461	0.034560918118263444
BS_V72GX2AZ	0.04514383090306011	-0.012833413764792696	0.037570250912748245	-0.016075700772094127	-0.006985473277116244	0.01984045309472831
BS_RWJZFTP9	-2.936815406240957e-4	-0.010243721890888222	0.03592704078184533	-0.023523045570498474	8.27819371939249e-4	0.023012639901084084
BS_KEA474HN	0.02244010956250723	-0.013258822003918496	0.020525141837070295	-0.017436112932424645	-0.006487915705707168	0.010968749068271777
BS_T1W4JA94	0.04675118397517176	-0.012292832652286104	0.011394026655278252	-0.013591156575233252	-0.0018325847622341633	0.082169896355356
BS_BN986DF6	0.012520803530316184	-0.012592186606708165	0.004789600347349739	-0.018861109348772425	-0.004876167786334353	0.05710716968787596
BS_BPSTSCBJ	0.009338598761061872	-0.01329368483648817	0.047545811657538746	-0.01554007480668263	-0.007775924420465795	0.0522602299899787
BS_M8M56Z4Y	0.07947032022845982	-0.008408120825098528	0.03123781410645235	-0.013291358147900504	-0.008228496846667838	0.01276519614522791
BS_EFEZB0ZH	0.049044037100250695	9.289656220123794e-4	0.05036648281957953	-0.019961383075123375	-0.005893873605047654	0.05094030364662475
BS_MF9X3PKH	0.0362464551377633	-0.0116128697584501	0.06194081853187386	-0.021223179062584172	-0.00643018355953884	0.007930744684158046
BS_BC936YNZ	0.08768698797989616	-0.013011989763189614	0.07344788285751916	-0.016692687363934842	-0.006587927604312016	0.01821104768296529
BS_K7MVS0Z7	0.01884658905912249	-0.013045596617189365	-0.0035421972452220744	-0.01626253550950823	-0.002057122496395631	0.08305896622583708
BS_CTR5X93B	0.02649615016924436	-0.013581400582346127	0.030903054663017748	-0.018632419334294943	-0.006396071839654723	0.04817880396942939
BS_GYXSDZ56	0.10611999945775981	-0.012965450066249612	0.05659614850805415	-0.018844040438065587	-0.00746543389725434	0.01130055025260546
BS_C7A2TYAC	0.006885631860232076	-0.013041774137527821	7.925121220774017e-4	-0.01515236463176424	0.009322510617402486	0.0855959385753062
BS_BKQZ550R	0.022389676417142283	-0.01314272739607332	0.059921045678418446	-0.014747168108251673	-0.007658829393387773	0.025205891964654385
BS_CB6VK7PB	0.016608153054342142	-0.012800271880213664	0.0584674925623036	-0.017161994519220132	-0.0057161671716995715	0.02823469079978757
BS_H3FE3TH9	0.013689146780867805	-0.013618881529604651	0.014717926308955843	-0.012578308835903003	-0.00660759995864032	0.07703143047824826
BS_J6VKB1VE	-0.009278298239199373	-0.012342679289284496	0.04781802351456519	-0.020176066441596432	-0.006735473586746812	0.015778862680972283
BS_4BWB0FA0	0.14001052973210212	-0.01176208742623299	0.058278191165975005	-0.018040438298877165	-0.006032532884057514	0.009025730796316196
BS_66HQ3E4Z	0.01637463895334997	-0.012511071367340495	0.005606893659317029	-0.0167419136076424	0.001608352813183627	0.08088392192984663
BS_JVA2NQFF	-0.0024580437733924218	-0.01248991557828682	0.0017064422204597857	-0.017973653777852573	-0.007008302925918471	0.028171951750610564
BS_JWSR581E	0.0124828953339193	-0.009422567671377655	0.02225847920453768	-0.02196786345804595	-0.008287868973257192	0.010740194950316438
BS_JKXA3FQC	0.08481608883923579	-0.013056150882510444	0.018253148285338413	-0.012593350606002297	-0.0060769743492538365	0.028960984169962078
BS_HSHN8PBB	0.08568960139289009	-0.012954903245585823	0.05987737137686892	-0.020761815744267068	-0.007211795730839076	0.0220017345835509
BS_49852ZBH	0.037151943919301884	-0.013363707485236662	0.0017641051013591504	-0.01659128995031073	-0.005972769909934107	0.03781728141229779
BS_HV8PFRBR	0.0600568690110699	-0.012489818609508187	0.008309214266575982	-0.02176416164899534	-0.008246143880814828	-0.015987728466502385
BS_M4TTKPNR	0.09692613652908372	-0.011134361020183475	0.04273079587460663	-0.020217332106882407	-0.00517648310280782	0.01946393193193072
BS_4NF35AF6	0.01767747463247943	-0.013495340347188883	5.757638367204921e-4	-0.008178379843453109	-0.00782277278397449	0.031429593067644104
BS_7P83Z28P	-0.0030940672526555846	-0.013141157126630883	0.044494498230171174	-0.021968484949315394	-0.005455078213259344	0.06111875665524999
BS_42Y3YANN	0.04344003353812942	-0.009527078648985787	0.01950636348794437	-0.013057225704778215	-0.008518296812317902	0.0038305929952486707
BS_4C4MZ4NT	0.01245806447509497	-0.012973011142888343	0.005911519901409638	-0.017784531048543023	-0.005908874023686558	0.04578401155550117
BS_0J9SHHSC	0.0095858375956691	-0.012259321836946425	0.018272536580401157	-0.019738285150792848	0.0015268413327527946	0.09945391734276307
BS_GHNJ4CYC	0.04123783032431279	-0.012872017135504395	0.02030607569505687	-0.02060001388591144	-7.621917999640243e-4	0.10360016644993339
BS_5NWDARXG	0.05895271724687158	-0.010590835872595078	0.04608262818706939	-0.02143071153113025	0.005215206468976778	0.0023310487825333208
BS_G5QBBHDV	0.20282465159049595	-0.011122891426020968	0.07793707518822303	-0.015152393558540762	0.021229177602669166	0.006689220944439633
BS_21RE8W46	0.1705236315162252	-0.01313940134016756	0.018008665880516663	-0.01607424341653667	-0.006819631999979641	-0.003935460224307128
BS_401R3KV0	0.02548275064629825	-0.009742742797507316	0.02397370248280705	-0.01782423404102549	-0.0071327898770969875	0.008871234286324494
BS_42DY6WS7	0.011420593381084117	-0.01354966304212962	0.01820433694383808	-0.018277375509418776	-0.006869149953647508	0.08539170915367432
BS_4Y6BCYK5	0.11512285128982247	-0.013110849429562702	0.05328550863045601	-0.017160807219104544	-0.0069947764964960624	0.018776382687800332
BS_JMHG7GCN	0.019083434266566758	-0.01324412070887657	0.051772126890264857	-0.017632715739394456	-0.002330010071515313	0.07639275865740523
BS_YG0A13JH	0.1824300140473716	-0.01233851819235228	0.004508985942721884	-0.020001756862124725	-0.007764023322969896	-0.005272786157172891
BS_JH29M4KG	0.023815082517754115	-0.012487740771356169	0.10141299407260952	-0.022598479361657573	-0.005294471861939069	0.005585522923509436
BS_YVMEEBKC	0.024259762108538245	-0.013337412674499085	0.009990239430183396	-0.01753482399102308	-0.006084581577645463	0.049192858644610364
BS_1ZVXF5FE	0.10482866051385975	-0.013493813583613304	0.007314228564876356	-0.019578640354125668	-0.008280477233853842	0.007693615427261938
BS_4A45GGSW	0.021562510271694063	-0.009484118862580795	0.016855829058892612	-0.018002788496797737	-0.007623252908141901	0.05792271494946377
BS_3G3KWY18	0.009971221421368104	-0.013463259023332907	0.03991324390322861	-0.019156984217059955	-0.0039343395478420775	0.022355121620284524
BS_7Z93ZYMS	0.032072188986846835	-0.012658336314002289	0.030005882138557035	-0.013610976294200607	-0.005262597895757541	0.03174758181917615
BS_17WYVEEC	0.0018781418131196838	-0.011672793821987316	-0.007171934422107447	-0.014975061678443681	-0.0028407311890267994	0.14563885543650645
BS_0SCXXM6N	0.03459597940054577	-0.00961552455128913	0.06308564031605139	-0.014538091110144034	-0.00617641814319281	0.04552613300457883
BS_X16PENSA	0.09296412371909425	-0.01339066212918686	0.0479433550004748	-0.02132528788925224	-0.0041968086265037705	0.021567462930919656
BS_3Q0GTSYH	0.014892526303587944	-0.012437460833958478	-0.005604738709915738	-0.01433893557972631	-0.005482897137113065	0.14611445066027112
BS_ZVX2GRD6	-0.02215787980081867	-0.010438154867303344	0.014872978484954462	-0.015252489466926897	-0.007687608777570221	0.0016182804961496324
BS_MY9D8XZ1	0.08181877137627117	-0.013017278158873054	0.00629328385255457	-0.02068480641575941	-0.006832596138356705	0.021469037528795254
BS_GPEGRCCT	-0.025031391862507583	-0.012648753984812803	0.043793107958724736	-0.01920033893619627	-0.007476590479904297	0.008017876093647893
BS_2WPQ8YCW	0.014467429359172014	-0.011280323045765223	0.012878508599418935	-0.019163781721863803	-0.003906553828429566	0.0916876159315318
BS_DPF1CX0G	0.011300118834693855	-0.013355666780056346	-2.836896262647923e-4	-0.010847827492585687	-0.0056122861357396445	0.10277394848054211
BS_2KJ2YAZR	0.006054503623315078	-0.01046025275604237	0.06081098355381641	-0.022308956090563225	-0.0048804151614927445	0.016163470847461062
BS_24AHZ9ZW	0.03496431457812321	-0.012258099702385469	0.057051833446977354	-0.018021207936995614	-0.006389482655908824	-3.4503318177549745e-4
BS_Z7Y2466H	0.002265840146693712	-0.012345686460831878	0.07294018957844245	-0.01962483579168299	-0.006611164973176188	0.015192961749751517
BS_FJWZ3M7V	0.019760554106860388	-0.011334493292158068	0.03401651450747013	-0.01853708236752251	-0.00595879184197541	0.034652990397027454
BS_N1E0H8YQ	0.002447262107063257	-0.011450915840793491	0.007631343520850732	-0.020934843446357234	-0.007114496132488647	0.031022115293933512
BS_EXYHZ6D4	0.13189629245564885	-0.013165948429704973	-0.020503859313984785	-0.025267831689638677	-0.008024741161618108	-0.013104487386447502
BS_ZZMYDZJW	0.009109873074965351	-0.011400179637579048	0.053811054688250204	-0.01615010785501841	-0.005510193973313988	0.05544887158129343
BS_MBSTWZA6	0.01546486104520322	-0.013023989028130557	0.03310919543755249	-0.01974057845438243	-0.007019080113755656	0.03319968143571849
BS_YY5B2XDD	-0.0246353424819369	-0.009025482950249079	-0.005558345769699758	-0.02383967998002179	-0.007612711226532863	-0.00464448112824014
BS_EYSS0ZDS	0.09457755653899445	-0.013432125878070453	0.056497133603937585	-0.014867392039887182	-5.337581799708271e-4	0.021841134106757084
BS_F8N6CFQE	0.005398793179839028	-0.002247383141496441	0.015613441890006909	-0.017415140127526905	-0.00671940499628692	0.037530662198964296
BS_HQ5BJ6MW	0.058111994302621824	0.006260334746276781	0.02973281048454258	-0.018129734683903213	-0.005755757916266674	0.026089711653404103
BS_SHMC4902	0.013662683489316922	-0.011781472185697247	0.013672459902738339	-0.016439385757931198	-0.005440414556227007	0.07506092844502202
BS_9P9MB8X8	-0.01257828693334672	-0.010918783545283386	0.04273985188915882	-0.017675464684925733	-0.007323510203413681	-2.8954778747545775e-4
BS_55P8HPYD	0.0023349121171203856	-0.013637158257280829	-0.006408296666339057	-0.01736963340781051	0.006263820274016164	0.12055111856934426
BS_QH82PBMB	-0.00954394046885965	-0.0059798228949236735	0.03009062676667383	-0.017256264633684886	-0.007817896494362727	0.01004071313511172
BS_6N3AFF66	0.012041537296244288	-0.01290641559212235	6.062279745973947e-4	-0.019259398725943146	0.0012530691043854572	0.09736118255624203
BS_775HDFNY	0.008808655798472544	-0.012566828159816293	0.018216608408562276	-0.01790879742517536	-0.007772663381411786	0.03687914275287474
BS_NQB91P48	0.0063846877094001315	-0.012749900307411657	0.011011095153121889	-0.017265990619021072	-0.004221740579165293	0.08728492798747982
BS_X9EGD530	-0.027120504550317705	0.014897554938467054	0.0030360345702971346	-0.023692094081272055	-0.002714592377217034	0.006430117159050777
BS_5YJEPPTP	0.010054264820451651	-0.012441420473468343	0.010928387361906041	-0.01895385870122103	-0.007924495232152074	0.012971004341129452
BS_SDZY6RZ3	0.043793697641840004	-0.011859511726532398	0.009059986173307227	-0.016123021248873777	-0.0034043991463036873	0.06427734874259448
BS_T4JFN54G	0.02567333042470091	-0.012303471948963965	0.023268172207052972	-0.021680562543009773	-0.005200824451570719	0.05604236336612942
BS_9Q6Z6VJC	0.03948307827890902	-0.013370564363110803	0.014524712920248753	-0.018448894725625473	0.002268968112534435	0.09865299349082203
BS_R244Z0WX	0.1337917194357983	-0.013222461866298444	0.044215118211072615	-0.022367889446704703	-0.008054572198328743	-0.005394893752962937
BS_Z0AVVB1V	0.036555045741226116	-0.012970358662399744	0.014425810218857726	-0.0220613850695623	-0.006901518080625217	2.7366195081784413e-4
BS_VP3C8WZT	0.033603515780231935	-0.008217385989072307	0.03252786620351114	-0.018754494910393184	-0.00818696854111604	0.03455355257923075
BS_YZ2Z1Q6Y	0.023643141087136665	-0.013387935097946717	-0.01423718687813519	-0.014262557873679216	-0.0012215636019296478	0.03856387519909402
BS_Z6BWR941	0.09336052476085152	-0.013233507896168183	4.6400323894401046e-4	-0.016786080340472995	-0.008052808723786524	0.03788334488564314
BS_Q79NP5YY	0.01314653475627898	-0.010259921429035656	0.038186973644946075	-0.018209667829326075	-0.006603258217858709	0.05123013498859162
BS_DSS3S5XD	0.046295726585064645	-0.01262719753879574	0.07780088798317267	-0.01373480930167498	0.005659467148621328	0.03526710999938515
BS_NS7GSHB9	-0.011988843511330042	-0.012386123440099272	0.07208982487041826	-0.01869237346652553	-0.007515884244052587	0.025143723518252326
BS_53GQKVEX	-0.008601694154794382	-0.011571476938171633	0.04202328708958783	-0.01806260319376516	-0.00694749790000073	0.03573287399306235
BS_9SJWWYQ4	0.07216323485857978	-0.013544857380744013	0.0021294405075425816	-0.016267021861865943	-0.0037913680663489587	0.046145178293349555
BS_S1KK7XRH	-0.004843564473385534	-0.01299651125612829	0.1164276490163359	-0.01642239186277085	-0.004519183173907841	0.05255343746593822
BS_4HQ3T2NC	0.018680413797582115	-0.011640500332717307	0.00837341484474604	-0.02104008585136106	-0.004976942193866804	0.049202157174246336
BS_52DAPP1Y	0.012429421210848482	-0.013300220130095181	0.001205081440391829	-0.01763505344786758	-0.0045144814263692375	0.1024742759402426
BS_8VAZSJEN	0.05261932669441653	-0.013457021855388239	0.025191675172408896	-0.02129562369443119	-0.007615840988252109	0.009575522970516748
BS_94MT16N2	0.09332452203803558	-0.01332084489444911	-0.008268534308422093	-0.017632150987751324	-0.004989434247193183	0.0628557387462207
