gene,mean_CRISPR_score,Average_TPM,max_dPSI
SMG1,-0.9822023737287573,8.710603566529493,0.154136752136752
PKN2,-0.3802193769713432,6.764979423868313,0.362070054945056
CLK2,-0.3787866924721541,9.527283950617283,0.258295546558704
HK2,-0.230635700372791,7.715761316872428,0.116203539823008
MARK2,-0.18826690154807776,10.48281207133059,0.115879286694101
CLK1,-0.14512594104885435,12.8839231824417,0.363330123796423
CDK13,NA,13.156639231824418,0.145219512195122
CLK3,NA,12.415884773662553,0.203473251028807
CLK4,NA,4.861632373113855,0.356589285714286
FASTK,NA,14.168655692729766,0.20657475994513
PRKDC,NA,28.728792866941017,0.188113854595337
SRPK1,NA,5.646323731138546,0.5247125
SRPK3,NA,1.592880658436214,0.408619909502262
