gene	Average_TPM	max_dPSI
CDK13	13.156639231824418	0.145219512195122
CLK1	12.8839231824417	0.363330123796423
CLK2	9.527283950617283	0.258295546558704
CLK3	12.415884773662553	0.203473251028807
CLK4	4.861632373113855	0.356589285714286
FASTK	14.168655692729766	0.20657475994513
HK2	7.715761316872428	0.116203539823008
MARK2	10.48281207133059	0.115879286694101
PKN2	6.764979423868313	0.362070054945056
PRKDC	28.728792866941017	0.188113854595337
SMG1	8.710603566529493	0.154136752136752
SRPK1	5.646323731138546	0.5247125
SRPK3	1.592880658436214	0.408619909502262
